epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2;lr/pg3;lr/pg4;lr/pg5;lr/pg6;lr/pg7
44;814,777;1,19631;0,82099;0,00744;0,86157;0,86633;0,91333;0,60429;1,24120;0,57535;0,00876;0,02574300;0,00858100;0,02574300;0,00858100;0,02574300;0,00858100;0,02574300;0,00858100
45;1218,370;1,18954;0,81100;0,00739;0,87700;0,86972;0,92069;0,61215;1,22769;0,55394;0,00869;0,02564400;0,00854800;0,02564400;0,00854800;0,02564400;0,00854800;0,02564400;0,00854800
46;1586,040;1,18762;0,81100;0,00731;0,86786;0,86497;0,91551;0,61086;1,23311;0,56447;0,00873;0,02554500;0,00851500;0,02554500;0,00851500;0,02554500;0,00851500;0,02554500;0,00851500
47;1959,140;1,18087;0,80787;0,00733;0,87856;0,86902;0,92135;0,61151;1,23303;0,54964;0,00867;0,02544600;0,00848200;0,02544600;0,00848200;0,02544600;0,00848200;0,02544600;0,00848200
48;2334,540;1,18430;0,81042;0,00731;0,87094;0,86962;0,91726;0,61199;1,22580;0,55429;0,00865;0,02534700;0,00844900;0,02534700;0,00844900;0,02534700;0,00844900;0,02534700;0,00844900
49;2739,920;1,17456;0,80192;0,00730;0,88002;0,85454;0,91770;0,61498;1,22010;0,56279;0,00859;0,02524800;0,00841600;0,02524800;0,00841600;0,02524800;0,00841600;0,02524800;0,00841600
50;3136,090;1,17566;0,79223;0,00720;0,88778;0,86656;0,92023;0,61652;1,21739;0,55141;0,00860;0,02514900;0,00838300;0,02514900;0,00838300;0,02514900;0,00838300;0,02514900;0,00838300
51;3526,720;1,16983;0,78136;0,00716;0,89418;0,86223;0,92537;0,62092;1,21040;0,53400;0,00843;0,02505000;0,00835000;0,02505000;0,00835000;0,02505000;0,00835000;0,02505000;0,00835000
52;3904,710;1,17115;0,78244;0,00716;0,88198;0,87725;0,92555;0,62284;1,20309;0,53415;0,00840;0,02495100;0,00831700;0,02495100;0,00831700;0,02495100;0,00831700;0,02495100;0,00831700
53;357,162;1,11043;0,71297;0,00676;0,88798;0,87106;0,92550;0,62560;1,20104;0,53572;0,00834;0,02485200;0,00828400;0,02485200;0,00828400;0,02485200;0,00828400;0,02485200;0,00828400
54;767,012;1,12088;0,72631;0,00684;0,89474;0,86499;0,92730;0,62704;1,20107;0,52706;0,00837;0,02475300;0,00825100;0,02475300;0,00825100;0,02475300;0,00825100;0,02475300;0,00825100
55;1170,050;1,11722;0,72640;0,00683;0,88886;0,87481;0,92685;0,62684;1,19483;0,52881;0,00836;0,02465400;0,00821800;0,02465400;0,00821800;0,02465400;0,00821800;0,02465400;0,00821800
56;1545,280;1,11542;0,72519;0,00675;0,89178;0,87287;0,92455;0,62750;1,19268;0,53526;0,00829;0,02455500;0,00818500;0,02455500;0,00818500;0,02455500;0,00818500;0,02455500;0,00818500
57;1940,020;1,11402;0,71738;0,00681;0,88732;0,88122;0,92528;0,62717;1,19476;0,52536;0,00831;0,02445600;0,00815200;0,02445600;0,00815200;0,02445600;0,00815200;0,02445600;0,00815200
58;2282,800;1,11463;0,71980;0,00675;0,89815;0,86606;0,92632;0,63032;1,18183;0,53883;0,00819;0,02435700;0,00811900;0,02435700;0,00811900;0,02435700;0,00811900;0,02435700;0,00811900
59;2718,630;1,10696;0,71395;0,00677;0,89031;0,87861;0,92705;0,63226;1,17852;0,53005;0,00815;0,02425800;0,00808600;0,02425800;0,00808600;0,02425800;0,00808600;0,02425800;0,00808600
